1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
44, 61, 75, 37, 85, 86, 77, 40, 73, 100, 86, 113, 56, 109, 118, 79, 82, 82, 70
48, 67, 82, 42, 95, 96, 84, 43, 81, 112, 96, 123, 61, 121, 130, 85, 90, 89, 75
53, 74, 89, 45, 104, 105, 92, 46, 89, 122, 106, 132, 65, 131, 140, 91, 97, 96, 80
56, 79, 95, 48, 111, 113, 97, 48, 94, 130, 113, 139, 68, 138, 148, 96, 102, 101, 83
58, 82, 97, 50, 116, 117, 100, 50, 98, 135, 117, 143, 70, 144, 153, 98, 106, 104, 85
57, 82, 97, 50, 116, 118, 100, 50, 98, 136, 118, 143, 70, 144, 154, 98, 106, 105, 86
56, 81, 96, 49, 113, 116, 99, 48, 96, 134, 117, 143, 68, 142, 153, 98, 104, 104, 85
54, 78, 94, 46, 109, 112, 96, 46, 92, 129, 112, 139, 65, 136, 147, 95, 100, 100, 83
48, 69, 86, 41, 96, 98, 82, 41, 80, 112, 94, 122, 57, 117, 127, 83, 87, 87, 73
38, 52, 67, 31, 69, 70, 59, 31, 58, 80, 64, 92, 43, 84, 91, 62, 63, 64, 55
25, 32, 45, 19, 40, 41, 34, 20, 34, 44, 37, 57, 26, 46, 51, 38, 36, 36, 33
13, 16, 24, 9, 18, 18, 14, 8, 14, 18, 15, 26, 9, 16, 19, 16, 12, 13, 13
4, 5, 9, 2, 5, 4, 1, 1, 2, 3, 1, 4, 0, 1, 1, 1, 0, 0, 0
