1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 2, 1, 0, 0, 1, 0, 0, 1
1, 1, 1, 1, 0, 2, 2, 1, 1, 0, 2, 2, 1, 1, 1, 1, 1, 1, 1
2, 3, 3, 2, 1, 5, 6, 2, 3, 3, 6, 5, 3, 4, 2, 2, 3, 2, 2
3, 4, 3, 2, 2, 6, 7, 2, 4, 4, 7, 6, 4, 5, 3, 3, 4, 3, 3
3, 4, 4, 3, 2, 8, 9, 3, 4, 5, 9, 8, 5, 6, 4, 3, 5, 4, 3
4, 7, 6, 4, 5, 13, 14, 4, 8, 8, 16, 11, 7, 11, 8, 5, 8, 7, 4
5, 8, 8, 4, 7, 18, 18, 5, 11, 10, 20, 14, 9, 15, 11, 6, 11, 9, 5
6, 10, 9, 5, 8, 22, 22, 6, 14, 13, 26, 17, 11, 20, 14, 7, 14, 12, 7
7, 13, 12, 6, 12, 30, 30, 8, 18, 18, 36, 23, 14, 29, 22, 9, 19, 16, 9
8, 16, 15, 7, 15, 36, 36, 9, 22, 23, 44, 27, 17, 36, 27, 10, 24, 20, 11
10, 21, 19, 8, 19, 47, 44, 11, 29, 34, 58, 33, 20, 47, 37, 12, 30, 25, 14
11, 24, 21, 9, 22, 53, 50, 13, 33, 43, 66, 37, 23, 54, 43, 14, 35, 29, 17
12, 27, 24, 11, 25, 61, 56, 14, 38, 53, 74, 41, 26, 63, 50, 15, 40, 33, 19
13, 30, 27, 11, 28, 67, 61, 16, 41, 63, 83, 45, 28, 71, 56, 17, 45, 36, 21
14, 33, 30, 13, 33, 76, 68, 17, 47, 77, 92, 50, 31, 80, 64, 19, 50, 41, 24
16, 36, 32, 14, 36, 83, 73, 19, 51, 92, 100, 54, 34, 87, 71, 20, 55, 45, 26
17, 39, 35, 15, 40, 89, 79, 20, 55, 106, 109, 58, 37, 96, 77, 22, 60, 49, 29
18, 42, 38, 16, 44, 95, 83, 21, 60, 120, 115, 62, 39, 103, 84, 24, 65, 53, 31
19, 45, 41, 17, 46, 100, 87, 22, 63, 130, 121, 65, 42, 109, 90, 26, 69, 56, 33
20, 47, 42, 18, 49, 104, 89, 23, 66, 139, 125, 68, 43, 113, 94, 27, 71, 58, 35
21, 50, 45, 19, 52, 110, 94, 25, 70, 153, 133, 72, 46, 121, 102, 29, 76, 62, 37
22, 52, 47, 20, 55, 115, 97, 26, 73, 163, 138, 74, 48, 126, 107, 30, 79, 65, 39
23, 55, 50, 21, 58, 120, 101, 27, 77, 175, 144, 77, 50, 131, 112, 32, 83, 68, 41
24, 56, 51, 21, 60, 122, 103, 28, 79, 181, 147, 79, 52, 135, 116, 32, 85, 70, 42
25, 58, 53, 22, 62, 126, 106, 29, 82, 189, 152, 81, 53, 139, 120, 34, 88, 73, 44
26, 60, 55, 23, 65, 130, 109, 30, 85, 198, 157, 84, 55, 144, 125, 35, 91, 75, 45
27, 62, 57, 24, 67, 134, 112, 31, 88, 208, 162, 87, 57, 149, 130, 36, 94, 78, 47
28, 65, 59, 25, 70, 139, 116, 32, 91, 219, 169, 90, 60, 155, 136, 38, 98, 81, 49
29, 67, 61, 25, 71, 143, 118, 33, 94, 227, 172, 92, 61, 158, 140, 39, 100, 83, 50
29, 68, 62, 26, 73, 145, 119, 33, 95, 232, 174, 93, 62, 160, 142, 40, 102, 84, 51
29, 67, 62, 26, 73, 144, 119, 33, 94, 231, 173, 92, 62, 160, 141, 39, 102, 84, 51
29, 67, 61, 25, 72, 143, 117, 33, 93, 228, 171, 91, 61, 158, 139, 39, 100, 83, 50
26, 61, 56, 23, 64, 132, 106, 29, 84, 200, 151, 81, 55, 141, 121, 34, 89, 73, 44
19, 48, 44, 18, 49, 107, 87, 22, 66, 146, 120, 63, 43, 111, 90, 25, 70, 57, 34
14, 35, 32, 13, 35, 81, 66, 16, 48, 91, 88, 46, 31, 81, 61, 18, 50, 40, 24
9, 22, 20, 8, 21, 53, 43, 10, 30, 40, 55, 29, 20, 48, 35, 11, 30, 24, 14
6, 12, 11, 5, 12, 30, 25, 6, 17, 16, 31, 17, 12, 25, 17, 6, 16, 13, 7
4, 7, 7, 3, 6, 16, 14, 4, 9, 8, 16, 11, 7, 13, 8, 4, 9, 7, 4
2, 4, 4, 2, 4, 9, 9, 3, 6, 5, 10, 8, 5, 8, 5, 3, 5, 4, 3
2, 3, 3, 2, 2, 7, 6, 2, 4, 3, 7, 6, 4, 5, 3, 2, 4, 3, 2
1, 2, 2, 1, 1, 3, 3, 1, 2, 2, 4, 4, 2, 3, 2, 1, 2, 1, 1
1, 1, 1, 0, 0, 1, 2, 0, 1, 0, 1, 2, 1, 1, 0, 1, 0, 0, 1
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
