1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
5, 5, 1, 6, 9, 4, 1, 4, 12, 9, 9, 4, 18, 12, 24, 4, 13, 10, 7
6, 5, 2, 7, 12, 5, 1, 4, 14, 11, 11, 4, 22, 15, 31, 4, 16, 12, 8
7, 6, 2, 8, 14, 6, 2, 5, 17, 12, 14, 5, 25, 19, 40, 5, 19, 14, 9
8, 7, 2, 9, 17, 8, 2, 6, 19, 13, 17, 5, 29, 22, 47, 5, 22, 16, 10
8, 7, 2, 9, 17, 8, 2, 6, 20, 13, 18, 5, 29, 23, 48, 5, 22, 16, 10
8, 7, 2, 9, 18, 8, 2, 6, 20, 13, 18, 5, 29, 23, 48, 5, 22, 16, 10
8, 7, 2, 9, 18, 8, 2, 6, 20, 13, 18, 5, 29, 23, 48, 5, 22, 16, 10
8, 7, 2, 9, 18, 8, 2, 6, 21, 14, 19, 5, 30, 24, 50, 5, 23, 16, 10
8, 7, 2, 9, 18, 8, 2, 6, 21, 14, 19, 5, 30, 24, 50, 5, 23, 16, 10
8, 7, 2, 10, 20, 9, 2, 6, 23, 14, 20, 5, 32, 26, 55, 5, 25, 17, 11
9, 8, 2, 10, 21, 10, 2, 7, 25, 15, 23, 5, 34, 28, 60, 6, 27, 19, 11
9, 8, 2, 11, 23, 11, 2, 7, 27, 16, 25, 5, 37, 32, 66, 6, 29, 20, 12
10, 9, 2, 11, 25, 12, 3, 8, 30, 17, 27, 6, 39, 35, 72, 6, 31, 21, 13
10, 9, 2, 12, 27, 12, 3, 8, 31, 18, 28, 6, 41, 36, 74, 6, 33, 22, 13
10, 10, 3, 12, 28, 13, 3, 8, 32, 18, 29, 6, 41, 38, 77, 7, 33, 22, 14
10, 10, 3, 12, 28, 13, 3, 8, 33, 18, 30, 6, 42, 39, 78, 7, 34, 23, 14
10, 10, 3, 12, 29, 13, 3, 8, 33, 18, 30, 6, 43, 39, 78, 7, 35, 23, 14
10, 10, 3, 12, 29, 13, 3, 8, 34, 18, 30, 6, 43, 40, 79, 7, 35, 23, 14
11, 10, 3, 12, 30, 14, 3, 8, 35, 19, 31, 6, 44, 41, 81, 7, 36, 23, 14
11, 11, 3, 13, 32, 15, 3, 9, 37, 20, 33, 6, 46, 44, 86, 7, 38, 24, 15
12, 11, 3, 13, 34, 16, 3, 9, 39, 21, 35, 6, 47, 47, 90, 7, 39, 25, 15
12, 12, 3, 14, 36, 17, 3, 10, 42, 22, 37, 7, 50, 51, 96, 7, 42, 27, 16
13, 12, 3, 14, 38, 19, 3, 10, 45, 22, 39, 7, 53, 54, 102, 8, 45, 28, 17
13, 13, 3, 15, 40, 20, 3, 10, 47, 23, 41, 7, 55, 57, 107, 8, 47, 29, 17
13, 13, 3, 15, 42, 21, 3, 11, 50, 24, 43, 7, 57, 61, 113, 8, 49, 30, 18
14, 14, 3, 16, 44, 23, 4, 11, 52, 25, 45, 7, 58, 64, 118, 8, 51, 31, 19
14, 14, 3, 15, 44, 23, 4, 11, 51, 25, 46, 8, 57, 63, 120, 8, 50, 31, 19
14, 14, 3, 15, 45, 25, 4, 11, 52, 25, 48, 8, 57, 64, 122, 9, 50, 31, 19
14, 15, 4, 16, 47, 26, 4, 11, 53, 26, 49, 8, 58, 65, 125, 9, 51, 32, 20
15, 15, 4, 16, 48, 26, 4, 11, 54, 26, 50, 8, 58, 66, 127, 9, 52, 32, 20
15, 15, 4, 16, 49, 27, 4, 11, 55, 26, 51, 8, 59, 67, 128, 9, 52, 32, 20
16, 16, 4, 17, 52, 29, 4, 12, 59, 28, 55, 9, 62, 73, 138, 9, 56, 34, 21
17, 17, 4, 18, 58, 33, 4, 13, 65, 30, 60, 9, 67, 82, 152, 10, 62, 37, 23
17, 18, 4, 18, 61, 35, 5, 13, 69, 31, 62, 9, 70, 88, 159, 10, 65, 39, 24
18, 18, 4, 19, 64, 37, 5, 14, 72, 31, 64, 9, 72, 92, 164, 10, 68, 40, 25
18, 19, 4, 19, 65, 38, 5, 14, 74, 32, 65, 9, 73, 94, 167, 10, 69, 41, 25
18, 19, 4, 19, 66, 39, 5, 14, 75, 32, 66, 9, 75, 97, 170, 10, 71, 41, 26
19, 19, 4, 20, 69, 41, 5, 14, 78, 33, 68, 10, 76, 100, 175, 11, 73, 43, 26
19, 20, 4, 20, 70, 42, 5, 14, 79, 34, 70, 10, 77, 102, 179, 11, 74, 43, 27
19, 20, 4, 19, 70, 43, 5, 14, 78, 34, 71, 10, 76, 102, 180, 11, 73, 43, 27
19, 20, 4, 20, 71, 44, 5, 14, 78, 34, 72, 10, 76, 104, 183, 11, 74, 44, 28
19, 20, 4, 20, 73, 45, 5, 15, 81, 34, 73, 10, 79, 107, 185, 11, 77, 45, 28
20, 20, 4, 21, 77, 45, 5, 16, 87, 35, 73, 10, 83, 113, 189, 11, 80, 46, 28
21, 21, 4, 22, 80, 46, 5, 17, 92, 36, 73, 10, 87, 119, 192, 11, 84, 48, 28
22, 22, 4, 23, 84, 48, 5, 18, 96, 37, 74, 9, 90, 121, 192, 11, 86, 48, 28
22, 22, 4, 24, 84, 47, 5, 18, 97, 37, 72, 9, 91, 121, 190, 10, 86, 47, 27
23, 22, 4, 24, 86, 47, 5, 18, 99, 37, 73, 9, 92, 125, 193, 11, 88, 48, 27
23, 23, 5, 25, 89, 49, 5, 19, 102, 38, 76, 10, 94, 129, 199, 11, 90, 49, 28
24, 23, 5, 25, 91, 51, 5, 19, 105, 39, 78, 10, 95, 132, 203, 11, 92, 50, 29
24, 23, 5, 25, 92, 51, 5, 19, 105, 39, 79, 10, 96, 135, 206, 11, 94, 51, 29
24, 23, 5, 25, 92, 51, 5, 19, 106, 39, 80, 10, 97, 138, 210, 11, 95, 52, 30
23, 23, 4, 25, 92, 51, 5, 19, 106, 39, 81, 10, 98, 141, 214, 12, 97, 53, 31
23, 23, 4, 25, 92, 51, 5, 20, 107, 39, 83, 10, 100, 146, 220, 12, 100, 55, 32
23, 23, 4, 26, 94, 52, 5, 20, 109, 40, 84, 10, 102, 149, 225, 12, 102, 56, 33
24, 23, 4, 26, 95, 53, 5, 20, 111, 40, 86, 11, 103, 152, 229, 12, 104, 57, 33
24, 23, 4, 26, 98, 54, 5, 21, 114, 41, 88, 11, 105, 155, 234, 12, 106, 58, 34
25, 24, 5, 27, 100, 55, 6, 21, 116, 41, 90, 11, 107, 159, 237, 12, 108, 59, 34
26, 24, 5, 28, 103, 56, 6, 22, 120, 42, 93, 11, 110, 167, 244, 13, 112, 61, 35
27, 25, 5, 29, 108, 57, 6, 23, 124, 43, 97, 11, 115, 176, 252, 13, 118, 63, 36
27, 26, 5, 29, 108, 57, 6, 23, 124, 43, 98, 11, 115, 178, 254, 13, 118, 63, 36
28, 26, 5, 30, 111, 59, 6, 23, 126, 44, 100, 11, 116, 179, 255, 13, 119, 63, 36
28, 27, 5, 30, 112, 60, 6, 23, 126, 44, 101, 11, 116, 179, 255, 13, 119, 63, 36
28, 27, 5, 30, 112, 60, 6, 23, 126, 44, 101, 11, 116, 179, 255, 13, 119, 63, 36
28, 28, 5, 31, 115, 62, 6, 23, 128, 45, 102, 11, 116, 179, 255, 13, 119, 63, 36
29, 28, 5, 31, 117, 63, 6, 24, 129, 45, 102, 11, 116, 178, 255, 13, 118, 61, 35
30, 29, 5, 32, 119, 64, 6, 24, 130, 45, 102, 11, 116, 177, 254, 13, 118, 61, 34
29, 29, 5, 32, 119, 64, 6, 24, 130, 45, 103, 11, 116, 178, 255, 13, 118, 61, 35
29, 29, 5, 32, 120, 64, 6, 24, 131, 46, 105, 12, 117, 181, 255, 13, 120, 63, 36
30, 29, 5, 32, 122, 66, 6, 24, 133, 46, 106, 12, 119, 185, 255, 13, 122, 64, 36
31, 31, 6, 33, 126, 69, 7, 25, 138, 48, 110, 12, 121, 190, 255, 14, 125, 65, 37
31, 31, 6, 33, 126, 69, 7, 25, 138, 48, 110, 12, 121, 190, 255, 14, 125, 65, 37
32, 32, 6, 34, 132, 71, 7, 26, 142, 49, 113, 12, 124, 197, 255, 14, 129, 66, 38
33, 33, 6, 35, 136, 73, 7, 26, 146, 50, 115, 12, 126, 200, 255, 14, 131, 67, 38
34, 33, 6, 36, 138, 74, 7, 27, 147, 50, 117, 13, 126, 202, 255, 14, 131, 67, 38
34, 33, 6, 36, 140, 76, 7, 27, 150, 51, 120, 13, 128, 208, 255, 14, 135, 69, 39
33, 33, 6, 36, 139, 76, 7, 27, 151, 52, 121, 13, 130, 212, 255, 15, 137, 71, 41
33, 33, 6, 36, 141, 77, 7, 27, 153, 52, 123, 13, 131, 215, 255, 15, 139, 72, 41
34, 34, 6, 36, 141, 77, 7, 27, 152, 52, 121, 13, 130, 210, 255, 15, 136, 70, 40
32, 32, 6, 35, 136, 74, 7, 26, 145, 50, 116, 12, 125, 200, 255, 14, 130, 67, 38
29, 29, 5, 32, 122, 66, 6, 23, 131, 45, 104, 11, 116, 178, 255, 12, 118, 61, 35
25, 25, 4, 27, 101, 55, 5, 19, 110, 38, 87, 10, 100, 146, 220, 10, 99, 51, 29
20, 20, 4, 21, 79, 43, 4, 15, 87, 31, 72, 9, 84, 115, 185, 9, 80, 42, 25
15, 15, 3, 17, 57, 31, 3, 12, 66, 25, 56, 7, 68, 86, 148, 7, 62, 34, 20
11, 11, 2, 13, 38, 19, 3, 9, 46, 20, 41, 6, 55, 60, 110, 6, 47, 27, 16
8, 7, 2, 9, 21, 10, 2, 7, 27, 14, 25, 5, 38, 35, 66, 4, 30, 18, 11
4, 4, 1, 6, 9, 5, 1, 4, 12, 9, 10, 3, 20, 15, 26, 3, 15, 10, 6
2, 2, 1, 3, 4, 2, 1, 2, 5, 5, 3, 2, 8, 5, 8, 2, 5, 4, 3
