1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
255, 255, 54, 53, 255, 255, 42, 11, 145, 255, 255, 40, 20, 228, 255, 168, 143, 183, 255
255, 255, 54, 53, 255, 255, 43, 11, 147, 255, 255, 41, 20, 233, 255, 173, 147, 189, 255
255, 255, 56, 53, 255, 255, 44, 10, 147, 255, 255, 41, 20, 230, 255, 174, 145, 186, 255
255, 255, 57, 54, 255, 255, 44, 10, 147, 255, 255, 41, 20, 226, 255, 172, 141, 179, 255
255, 255, 58, 54, 255, 255, 44, 10, 147, 255, 255, 40, 19, 223, 255, 168, 138, 174, 255
255, 255, 57, 53, 255, 255, 44, 10, 143, 255, 255, 41, 19, 221, 255, 171, 138, 176, 255
255, 255, 56, 50, 255, 255, 43, 10, 138, 255, 255, 41, 19, 219, 255, 175, 139, 179, 255
255, 255, 55, 48, 255, 255, 43, 10, 135, 255, 255, 40, 18, 216, 255, 173, 137, 177, 255
255, 255, 54, 48, 255, 255, 42, 10, 134, 255, 255, 39, 18, 212, 255, 168, 134, 174, 255
255, 255, 53, 49, 255, 255, 41, 10, 134, 255, 255, 39, 18, 210, 255, 163, 132, 169, 255
255, 255, 53, 48, 255, 255, 41, 10, 131, 255, 255, 38, 18, 204, 255, 160, 129, 165, 255
255, 255, 52, 45, 255, 255, 40, 9, 123, 255, 255, 39, 17, 196, 255, 162, 125, 162, 255
255, 255, 50, 41, 255, 255, 40, 9, 116, 255, 255, 39, 17, 189, 255, 164, 122, 162, 255
255, 255, 49, 40, 255, 255, 39, 9, 113, 255, 255, 38, 17, 186, 255, 162, 121, 160, 255
255, 255, 48, 41, 255, 255, 39, 9, 114, 255, 255, 38, 17, 187, 255, 160, 121, 160, 255
255, 255, 47, 41, 255, 255, 38, 9, 115, 255, 255, 37, 17, 187, 255, 156, 121, 159, 255
255, 255, 46, 40, 255, 255, 37, 9, 113, 255, 255, 36, 17, 185, 255, 154, 120, 159, 255
255, 255, 46, 39, 255, 255, 37, 9, 112, 255, 255, 37, 17, 187, 255, 157, 122, 164, 255
255, 255, 46, 40, 255, 255, 37, 9, 114, 255, 255, 36, 17, 191, 255, 156, 124, 166, 255
255, 255, 47, 41, 255, 255, 37, 9, 117, 255, 255, 35, 17, 191, 255, 150, 123, 162, 255
255, 255, 45, 41, 255, 255, 35, 9, 113, 255, 255, 34, 17, 183, 255, 143, 118, 154, 252
239, 221, 39, 37, 255, 243, 30, 8, 99, 255, 241, 30, 16, 157, 255, 120, 101, 131, 213
164, 139, 28, 27, 194, 154, 21, 7, 70, 255, 149, 22, 14, 106, 255, 76, 69, 87, 140
99, 79, 19, 19, 111, 88, 15, 6, 47, 156, 86, 16, 12, 69, 181, 46, 46, 58, 88
49, 42, 13, 12, 56, 47, 10, 5, 28, 79, 44, 11, 9, 40, 88, 25, 27, 33, 45
13, 15, 7, 5, 17, 17, 4, 3, 10, 22, 12, 5, 5, 13, 20, 7, 9, 10, 10
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
