1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
28, 38, 45, 25, 45, 40, 37, 27, 39, 44, 40, 61, 36, 48, 49, 37, 44, 48, 39
31, 42, 49, 28, 50, 44, 41, 30, 43, 49, 44, 66, 40, 54, 54, 40, 49, 53, 42
34, 45, 53, 30, 55, 48, 45, 33, 47, 54, 48, 72, 44, 60, 60, 44, 54, 58, 46
35, 48, 56, 32, 59, 51, 47, 34, 50, 57, 51, 76, 46, 64, 64, 46, 57, 61, 48
36, 49, 58, 33, 61, 52, 49, 36, 51, 59, 52, 78, 48, 66, 67, 48, 59, 63, 50
37, 50, 59, 34, 62, 53, 50, 36, 53, 60, 53, 79, 49, 68, 68, 48, 60, 64, 50
37, 50, 59, 34, 63, 53, 50, 37, 53, 61, 53, 78, 49, 68, 68, 48, 60, 64, 50
36, 48, 57, 32, 60, 51, 46, 35, 50, 57, 50, 74, 47, 64, 64, 45, 57, 61, 47
31, 41, 49, 27, 49, 43, 38, 30, 42, 47, 41, 61, 39, 51, 50, 37, 47, 51, 40
22, 30, 35, 19, 33, 31, 26, 21, 30, 33, 29, 43, 28, 34, 34, 25, 33, 37, 29
15, 19, 23, 12, 22, 21, 16, 14, 19, 21, 19, 28, 19, 21, 21, 16, 21, 25, 20
8, 11, 13, 7, 14, 13, 8, 8, 12, 13, 11, 16, 12, 13, 13, 9, 13, 15, 11
3, 4, 5, 3, 7, 6, 2, 3, 6, 7, 5, 6, 6, 7, 6, 3, 6, 6, 4
0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
