1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
32, 50, 58, 26, 59, 63, 55, 17, 47, 56, 65, 54, 30, 44, 52, 34, 35, 31, 24
41, 66, 74, 33, 77, 84, 72, 20, 58, 73, 83, 67, 34, 53, 64, 42, 41, 36, 27
51, 85, 96, 39, 97, 110, 94, 23, 68, 91, 105, 84, 38, 62, 78, 50, 46, 40, 31
59, 102, 116, 44, 113, 131, 110, 25, 75, 103, 120, 97, 40, 68, 86, 55, 50, 42, 33
67, 117, 130, 50, 127, 147, 118, 27, 81, 111, 127, 100, 42, 71, 89, 56, 51, 42, 33
71, 124, 134, 53, 132, 151, 115, 28, 83, 112, 124, 93, 43, 71, 86, 53, 51, 41, 31
69, 120, 127, 52, 128, 144, 107, 28, 81, 107, 115, 85, 42, 67, 81, 49, 49, 39, 29
60, 105, 112, 46, 113, 127, 95, 25, 73, 96, 104, 78, 39, 61, 74, 45, 45, 37, 28
49, 86, 96, 38, 93, 108, 84, 22, 63, 83, 94, 72, 35, 55, 68, 43, 41, 35, 27
38, 68, 79, 30, 73, 87, 69, 18, 52, 69, 78, 63, 31, 46, 58, 39, 36, 32, 25
27, 47, 57, 22, 51, 62, 52, 15, 39, 51, 60, 50, 26, 36, 46, 32, 30, 28, 22
19, 32, 40, 15, 32, 40, 35, 11, 27, 34, 40, 37, 21, 25, 32, 24, 22, 22, 18
14, 22, 30, 11, 20, 25, 25, 9, 18, 22, 27, 27, 16, 17, 21, 18, 17, 18, 14
9, 14, 21, 7, 10, 14, 15, 7, 10, 11, 14, 18, 12, 9, 11, 11, 11, 13, 10
6, 8, 14, 4, 3, 5, 9, 5, 4, 3, 6, 12, 8, 4, 4, 7, 6, 8, 7
3, 5, 9, 1, 0, 1, 5, 3, 0, 0, 1, 8, 5, 0, 0, 4, 3, 5, 5
1, 2, 5, 0, 0, 0, 3, 1, 0, 0, 0, 5, 2, 0, 0, 1, 1, 3, 3
0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 1
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 1
0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 1
0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 0, 0, 1, 1, 2, 2
0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 0, 0, 1, 1, 2, 2
