1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 7, 0, 0, 0, 4, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 32, 4, 0, 0, 13, 7, 0, 0, 8, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 46, 15, 0, 0, 18, 19, 0, 0, 11, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 59, 22, 0, 0, 22, 28, 0, 0, 14, 0, 0
0, 0, 0, 0, 2, 0, 0, 0, 76, 30, 0, 0, 28, 39, 0, 0, 18, 0, 0
0, 0, 0, 0, 5, 0, 0, 0, 90, 44, 0, 0, 32, 54, 0, 0, 22, 0, 0
0, 0, 0, 0, 6, 0, 0, 0, 97, 54, 0, 0, 35, 64, 0, 0, 24, 0, 0
0, 0, 0, 0, 8, 0, 0, 0, 103, 63, 0, 0, 35, 70, 0, 0, 25, 0, 0
0, 0, 0, 0, 11, 0, 0, 0, 108, 72, 0, 0, 34, 73, 0, 0, 23, 0, 0
0, 0, 0, 0, 16, 0, 0, 0, 113, 87, 0, 0, 31, 77, 2, 0, 21, 0, 0
0, 0, 0, 0, 22, 0, 0, 0, 120, 104, 0, 0, 28, 77, 4, 0, 19, 0, 0
0, 0, 0, 0, 29, 0, 0, 0, 134, 117, 0, 0, 28, 76, 4, 0, 19, 0, 0
0, 0, 0, 0, 34, 0, 0, 0, 145, 131, 0, 0, 30, 81, 6, 0, 19, 0, 0
0, 0, 0, 0, 38, 0, 0, 0, 149, 151, 0, 0, 28, 87, 11, 0, 19, 0, 0
0, 0, 0, 0, 39, 0, 0, 0, 149, 170, 0, 0, 28, 95, 19, 0, 18, 0, 0
0, 0, 0, 0, 38, 0, 0, 0, 151, 180, 0, 0, 29, 102, 24, 0, 19, 0, 0
0, 0, 0, 0, 39, 0, 0, 0, 154, 186, 0, 0, 30, 104, 26, 0, 20, 0, 0
0, 0, 0, 0, 40, 0, 0, 0, 151, 190, 0, 0, 28, 102, 27, 0, 18, 0, 0
0, 0, 0, 0, 39, 0, 0, 0, 142, 184, 0, 0, 25, 96, 25, 0, 17, 0, 0
0, 0, 0, 0, 34, 0, 0, 0, 122, 163, 0, 0, 21, 84, 20, 0, 14, 0, 0
0, 0, 0, 0, 23, 0, 0, 0, 87, 113, 0, 0, 14, 54, 7, 0, 9, 0, 0
0, 0, 0, 0, 11, 0, 0, 0, 44, 53, 0, 0, 4, 16, 0, 0, 2, 0, 0
0, 0, 0, 0, 2, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 14, 5, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 23, 13, 0, 0, 0, 1, 0, 0, 0
0, 0, 0, 0, 0, 1, 71, 0, 0, 0, 36, 25, 0, 0, 0, 5, 0, 0, 0
0, 0, 0, 0, 0, 3, 85, 0, 0, 0, 45, 34, 0, 0, 0, 9, 0, 0, 0
0, 0, 0, 0, 0, 4, 97, 0, 0, 0, 52, 40, 0, 0, 0, 11, 0, 0, 0
0, 0, 0, 0, 0, 6, 107, 0, 0, 0, 59, 47, 0, 0, 0, 14, 0, 0, 0
0, 0, 0, 0, 0, 7, 115, 0, 0, 0, 65, 54, 0, 0, 0, 16, 0, 0, 0
0, 0, 0, 0, 0, 9, 124, 0, 0, 0, 72, 59, 0, 0, 0, 18, 0, 0, 0
0, 0, 0, 0, 0, 11, 133, 0, 0, 0, 78, 60, 0, 0, 0, 19, 0, 0, 0
0, 0, 0, 0, 0, 13, 140, 0, 0, 0, 83, 63, 0, 0, 0, 20, 0, 0, 0
0, 0, 0, 0, 0, 13, 144, 0, 0, 0, 88, 70, 0, 0, 0, 24, 0, 0, 0
0, 0, 0, 0, 0, 12, 144, 0, 0, 0, 93, 78, 0, 0, 0, 28, 0, 0, 0
0, 0, 0, 0, 0, 11, 139, 0, 0, 0, 92, 82, 0, 0, 0, 30, 0, 0, 0
0, 0, 0, 0, 0, 8, 122, 0, 0, 0, 81, 82, 0, 0, 0, 31, 0, 0, 0
0, 0, 0, 0, 0, 2, 76, 0, 0, 0, 45, 47, 0, 0, 0, 16, 0, 0, 0
0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0
7, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28, 7, 0, 16, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55, 13, 0, 28, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
94, 22, 0, 46, 35, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
133, 28, 0, 68, 51, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
174, 32, 0, 86, 58, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, 42, 0, 105, 80, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
210, 49, 0, 112, 95, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
