1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
7, 6, 1, 7, 23, 10, 1, 6, 29, 11, 31, 3, 37, 63, 89, 4, 39, 18, 10
8, 7, 1, 8, 27, 12, 2, 7, 34, 12, 36, 3, 40, 70, 100, 4, 43, 19, 11
8, 8, 1, 8, 32, 15, 2, 7, 41, 14, 43, 4, 44, 80, 113, 5, 48, 22, 12
9, 9, 1, 9, 36, 17, 2, 7, 45, 15, 47, 4, 46, 85, 120, 5, 51, 23, 13
9, 9, 1, 9, 40, 19, 2, 8, 49, 16, 50, 5, 48, 91, 127, 6, 54, 24, 14
11, 10, 2, 10, 45, 22, 3, 9, 54, 17, 55, 5, 52, 101, 138, 6, 60, 27, 15
12, 12, 2, 11, 50, 25, 3, 10, 60, 19, 61, 6, 56, 110, 149, 7, 64, 28, 17
13, 13, 2, 11, 56, 28, 3, 10, 66, 21, 66, 6, 58, 116, 158, 8, 68, 30, 18
13, 13, 2, 11, 60, 31, 3, 10, 71, 22, 70, 7, 60, 121, 164, 8, 70, 31, 19
14, 14, 2, 12, 66, 35, 3, 10, 78, 23, 75, 7, 63, 129, 174, 9, 75, 34, 21
15, 16, 3, 14, 76, 40, 4, 12, 86, 26, 83, 8, 68, 141, 188, 10, 82, 37, 23
17, 18, 3, 15, 83, 43, 4, 13, 92, 28, 88, 9, 71, 149, 197, 11, 86, 38, 24
19, 20, 3, 16, 91, 48, 5, 14, 100, 30, 95, 9, 75, 156, 205, 11, 90, 40, 25
22, 23, 4, 18, 105, 56, 5, 16, 114, 33, 107, 10, 81, 170, 222, 12, 98, 43, 27
25, 27, 5, 21, 122, 66, 6, 18, 130, 37, 120, 12, 89, 188, 243, 14, 108, 47, 29
27, 30, 5, 22, 135, 75, 7, 19, 143, 41, 131, 13, 94, 202, 255, 16, 115, 51, 32
28, 31, 6, 23, 146, 82, 8, 20, 152, 42, 137, 14, 97, 211, 255, 17, 120, 53, 33
28, 32, 6, 24, 148, 83, 8, 20, 155, 43, 138, 14, 97, 214, 255, 17, 121, 53, 33
28, 32, 6, 24, 150, 84, 8, 21, 157, 43, 140, 14, 98, 217, 255, 17, 122, 53, 34
29, 33, 7, 25, 155, 87, 9, 21, 161, 45, 144, 15, 100, 220, 255, 18, 124, 54, 34
29, 34, 7, 25, 157, 89, 9, 21, 163, 45, 145, 15, 100, 222, 255, 18, 125, 54, 35
29, 34, 7, 25, 158, 90, 9, 21, 164, 45, 146, 15, 100, 223, 255, 18, 126, 55, 35
30, 35, 7, 26, 163, 92, 9, 22, 168, 46, 150, 15, 102, 228, 255, 18, 128, 56, 36
31, 37, 8, 27, 169, 97, 10, 23, 174, 48, 156, 16, 105, 235, 255, 19, 132, 58, 37
32, 38, 8, 28, 178, 102, 11, 24, 182, 51, 164, 17, 110, 246, 255, 21, 139, 62, 40
34, 40, 9, 29, 185, 107, 11, 25, 190, 53, 173, 18, 114, 255, 255, 22, 145, 66, 42
35, 41, 9, 30, 190, 111, 12, 25, 195, 55, 176, 18, 117, 255, 255, 23, 146, 67, 43
36, 42, 10, 31, 195, 113, 12, 26, 199, 55, 180, 19, 118, 255, 255, 23, 147, 68, 44
38, 45, 10, 33, 206, 119, 13, 28, 209, 58, 189, 20, 122, 255, 255, 24, 149, 70, 45
40, 48, 11, 35, 218, 126, 14, 29, 219, 62, 200, 22, 128, 255, 255, 26, 152, 74, 48
42, 50, 12, 36, 228, 132, 15, 30, 229, 65, 210, 23, 133, 255, 255, 27, 155, 79, 51
43, 51, 13, 37, 233, 135, 16, 31, 235, 66, 214, 23, 136, 255, 255, 28, 157, 80, 52
44, 52, 13, 38, 236, 137, 16, 32, 238, 67, 216, 24, 138, 255, 255, 28, 158, 81, 52
44, 53, 13, 39, 240, 140, 17, 32, 241, 68, 220, 24, 139, 255, 255, 29, 159, 83, 53
45, 53, 14, 39, 242, 141, 17, 32, 243, 69, 222, 25, 140, 255, 255, 29, 159, 83, 54
45, 53, 14, 39, 242, 141, 17, 32, 243, 69, 222, 25, 139, 255, 255, 29, 159, 83, 54
44, 52, 13, 38, 239, 139, 17, 32, 241, 68, 220, 24, 138, 255, 255, 29, 158, 83, 53
41, 49, 12, 35, 224, 130, 14, 29, 226, 63, 201, 21, 129, 255, 255, 26, 153, 76, 49
33, 38, 8, 28, 183, 105, 10, 23, 187, 51, 162, 16, 107, 244, 255, 20, 137, 61, 39
22, 26, 5, 19, 129, 73, 6, 15, 137, 35, 114, 10, 77, 178, 218, 13, 99, 42, 26
11, 14, 2, 10, 69, 36, 3, 7, 77, 19, 61, 5, 41, 100, 121, 7, 53, 19, 13
3, 5, 1, 3, 24, 11, 1, 1, 30, 7, 26, 2, 13, 39, 48, 3, 18, 4, 3
0, 1, 0, 0, 4, 2, 0, 0, 5, 1, 6, 0, 0, 3, 1, 0, 1, 0, 0
