1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
69, 171, 218, 255, 255, 255, 255, 160, 255, 255, 255, 151, 42, 48, 36, 14, 31, 3, 2
68, 165, 206, 255, 255, 255, 255, 173, 255, 255, 255, 144, 45, 51, 37, 14, 33, 3, 2
69, 161, 194, 255, 255, 255, 255, 186, 255, 255, 255, 136, 48, 52, 37, 14, 34, 3, 2
68, 159, 190, 255, 255, 255, 255, 184, 255, 255, 255, 129, 47, 50, 35, 13, 33, 3, 2
65, 152, 184, 255, 255, 255, 255, 170, 255, 255, 255, 119, 43, 45, 32, 12, 30, 3, 2
56, 133, 162, 233, 255, 255, 255, 145, 255, 255, 217, 99, 37, 39, 28, 10, 26, 2, 2
38, 95, 118, 161, 255, 255, 255, 96, 255, 255, 156, 73, 26, 28, 21, 8, 18, 2, 1
24, 60, 76, 94, 255, 255, 181, 49, 150, 157, 99, 51, 13, 16, 14, 6, 10, 1, 1
11, 30, 38, 42, 131, 172, 82, 17, 60, 68, 40, 22, 3, 4, 5, 3, 2, 0, 0
2, 6, 7, 6, 22, 43, 5, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0
