1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
5, 5, 7, 3, 4, 3, 5, 4, 4, 4, 5, 8, 5, 4, 5, 6, 5, 8, 6
5, 6, 8, 4, 4, 4, 6, 4, 4, 5, 6, 9, 6, 5, 6, 7, 6, 9, 7
6, 7, 9, 4, 6, 5, 7, 4, 5, 6, 7, 10, 6, 6, 8, 8, 7, 10, 8
7, 8, 10, 5, 7, 7, 9, 5, 7, 8, 9, 12, 8, 8, 10, 9, 9, 12, 10
7, 8, 11, 6, 8, 7, 9, 6, 8, 9, 9, 12, 8, 9, 10, 10, 10, 13, 10
7, 8, 11, 6, 8, 7, 9, 5, 7, 9, 9, 12, 9, 9, 10, 10, 10, 13, 10
7, 8, 11, 5, 8, 7, 9, 5, 7, 9, 9, 12, 8, 8, 10, 10, 9, 12, 10
7, 8, 11, 6, 8, 7, 9, 6, 8, 9, 9, 13, 9, 9, 11, 10, 10, 13, 11
8, 8, 11, 6, 9, 8, 10, 6, 9, 10, 11, 14, 9, 10, 12, 11, 11, 14, 11
8, 8, 11, 6, 9, 8, 10, 6, 9, 10, 11, 14, 9, 10, 12, 11, 11, 14, 11
8, 10, 13, 7, 11, 10, 11, 7, 10, 12, 13, 15, 11, 12, 14, 12, 12, 15, 13
9, 11, 14, 8, 13, 12, 13, 7, 12, 15, 16, 17, 12, 14, 17, 14, 14, 17, 14
10, 11, 15, 8, 14, 13, 13, 7, 13, 16, 16, 18, 13, 15, 18, 15, 15, 18, 15
10, 12, 15, 9, 15, 13, 14, 8, 14, 17, 17, 18, 13, 16, 19, 15, 16, 19, 16
11, 13, 16, 10, 17, 16, 16, 9, 16, 20, 21, 21, 15, 19, 23, 18, 18, 22, 18
12, 15, 19, 11, 21, 20, 19, 10, 20, 25, 26, 25, 18, 24, 30, 22, 22, 26, 21
13, 17, 21, 13, 25, 24, 22, 11, 22, 30, 31, 28, 19, 28, 35, 25, 25, 29, 24
14, 18, 23, 13, 27, 26, 23, 11, 24, 32, 33, 29, 21, 30, 39, 27, 27, 31, 26
14, 19, 23, 14, 28, 27, 24, 12, 26, 35, 36, 31, 22, 33, 42, 29, 29, 33, 27
15, 20, 24, 15, 30, 29, 25, 13, 28, 37, 37, 32, 24, 36, 45, 30, 31, 35, 29
14, 19, 23, 14, 28, 27, 22, 12, 26, 34, 33, 28, 22, 33, 40, 27, 29, 33, 26
11, 14, 17, 10, 18, 17, 14, 9, 16, 20, 18, 18, 15, 19, 22, 17, 18, 21, 17
8, 8, 11, 6, 7, 7, 8, 5, 7, 8, 7, 10, 8, 7, 8, 9, 9, 12, 10
5, 4, 6, 2, 1, 1, 3, 2, 1, 0, 1, 5, 3, 1, 1, 4, 3, 6, 6
2, 1, 3, 1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 1, 1, 3, 3
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
