1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
57, 24, 27, 67, 38, 28, 29, 50, 49, 166, 37, 21, 38, 35, 52, 34, 29, 29, 45
59, 25, 28, 70, 39, 29, 30, 52, 51, 167, 38, 22, 40, 36, 53, 35, 31, 31, 47
61, 25, 29, 72, 40, 30, 31, 54, 52, 169, 39, 23, 42, 38, 56, 37, 33, 33, 50
63, 26, 31, 74, 42, 32, 34, 56, 54, 178, 42, 26, 44, 40, 60, 41, 34, 36, 55
65, 27, 32, 77, 44, 33, 35, 59, 56, 184, 44, 27, 47, 42, 63, 43, 37, 38, 59
65, 27, 32, 78, 44, 33, 35, 60, 57, 183, 44, 27, 47, 43, 64, 43, 37, 39, 60
68, 29, 33, 80, 45, 34, 36, 61, 58, 185, 44, 28, 48, 43, 64, 43, 37, 39, 59
71, 30, 35, 83, 47, 34, 36, 62, 58, 185, 44, 27, 48, 42, 62, 41, 37, 37, 56
71, 29, 34, 82, 46, 33, 34, 61, 56, 174, 40, 24, 46, 40, 57, 37, 34, 34, 50
63, 26, 30, 73, 40, 29, 28, 54, 50, 149, 34, 20, 40, 34, 48, 30, 28, 28, 41
45, 18, 20, 52, 28, 20, 17, 38, 35, 95, 20, 11, 27, 22, 28, 17, 17, 17, 23
14, 6, 5, 16, 7, 5, 2, 11, 8, 11, 0, 0, 6, 2, 0, 0, 2, 0, 0
