1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
3, 3, 4, 8, 11, 27, 9, 8, 28, 22, 21, 6, 10, 12, 29, 14, 11, 14, 51
4, 4, 5, 10, 14, 34, 11, 10, 36, 26, 28, 7, 12, 17, 37, 17, 12, 17, 60
6, 4, 7, 12, 19, 43, 14, 12, 45, 30, 37, 9, 15, 23, 49, 21, 12, 20, 72
7, 6, 8, 15, 25, 51, 17, 15, 54, 35, 45, 11, 18, 29, 61, 26, 13, 24, 83
8, 6, 10, 17, 30, 58, 19, 16, 61, 39, 51, 13, 21, 33, 70, 28, 14, 27, 91
9, 7, 11, 19, 34, 63, 21, 18, 66, 42, 55, 14, 23, 37, 78, 31, 15, 30, 98
11, 8, 12, 21, 39, 68, 23, 19, 71, 45, 60, 15, 25, 41, 85, 33, 17, 33, 104
12, 9, 13, 22, 43, 75, 26, 21, 76, 47, 67, 18, 26, 44, 93, 36, 17, 35, 111
13, 10, 14, 23, 45, 79, 28, 22, 79, 49, 71, 19, 27, 47, 99, 39, 18, 36, 115
14, 10, 15, 25, 49, 83, 29, 23, 85, 51, 75, 20, 30, 51, 106, 41, 20, 39, 122
16, 11, 16, 27, 54, 88, 31, 25, 90, 54, 79, 21, 32, 54, 113, 43, 22, 42, 127
17, 12, 17, 29, 57, 93, 33, 27, 94, 56, 84, 23, 34, 58, 121, 45, 23, 44, 133
19, 13, 18, 31, 60, 96, 35, 29, 99, 58, 88, 24, 36, 61, 127, 47, 24, 46, 138
20, 14, 19, 32, 63, 100, 37, 30, 102, 60, 91, 25, 37, 64, 133, 49, 26, 47, 141
21, 15, 20, 33, 65, 102, 38, 32, 106, 61, 94, 26, 38, 66, 138, 51, 27, 49, 145
22, 16, 21, 35, 68, 105, 40, 33, 110, 63, 97, 27, 40, 69, 143, 52, 29, 51, 149
24, 17, 22, 37, 71, 108, 41, 34, 113, 65, 100, 28, 42, 72, 148, 54, 30, 53, 153
25, 17, 22, 37, 72, 110, 42, 35, 115, 66, 102, 29, 43, 73, 151, 55, 31, 54, 156
26, 18, 23, 39, 74, 113, 43, 36, 118, 67, 105, 30, 44, 75, 156, 57, 33, 55, 159
27, 19, 24, 41, 78, 116, 44, 38, 122, 69, 107, 31, 46, 79, 161, 58, 35, 58, 164
28, 20, 25, 43, 82, 119, 45, 39, 126, 71, 109, 32, 49, 81, 166, 60, 35, 60, 167
29, 20, 25, 43, 82, 119, 45, 40, 127, 72, 110, 32, 49, 82, 167, 60, 34, 61, 168
29, 20, 25, 44, 83, 120, 45, 40, 127, 72, 110, 32, 49, 82, 168, 60, 35, 61, 169
29, 20, 25, 44, 84, 120, 44, 40, 128, 72, 109, 32, 50, 82, 167, 60, 35, 62, 169
29, 19, 25, 44, 84, 119, 44, 40, 127, 72, 108, 32, 50, 82, 166, 59, 34, 62, 168
29, 19, 25, 44, 83, 118, 43, 40, 126, 71, 107, 31, 49, 81, 164, 59, 32, 61, 166
26, 18, 23, 41, 78, 113, 41, 37, 119, 68, 102, 30, 46, 76, 155, 56, 28, 57, 159
21, 15, 20, 34, 65, 101, 36, 31, 105, 59, 91, 25, 38, 65, 134, 50, 23, 48, 141
14, 11, 16, 25, 47, 82, 29, 22, 83, 47, 73, 19, 27, 48, 103, 40, 15, 34, 114
7, 7, 10, 14, 26, 55, 18, 12, 55, 31, 46, 12, 14, 28, 61, 25, 7, 19, 78
3, 3, 5, 7, 10, 30, 8, 6, 28, 18, 22, 6, 7, 11, 26, 13, 3, 9, 45
1, 1, 2, 3, 3, 10, 3, 2, 8, 7, 6, 2, 2, 3, 6, 4, 1, 3, 15
1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 0, 1, 3
0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1
0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0
0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0
0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
